trial,is_practice,block,is_old,pair_type,timing_jitter,timing_iti,within_category,high_cat_on_left,left_cat,right_cat,left_cat_value_group,right_cat_value_group,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_kind,right_kind,left_shape,right_shape,left_color,right_color,left_img_path,right_img_path,chosen_cat,unchosen_cat,chosen_value_group,unchosen_value_group,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value
82,0,2,0,20-60,2500,2500,NaN,0,yarn,door knob,20,60,yarn3,door knob9,0,40,2.1,2.1,2.8,4,4.9,2.9,Stimuli/Experimental_stims/yarn/Aballofblueya.jpg,Stimuli/Experimental_stims/door knob/d08d31bb-7484-41db-96f9-297aeb8651cd_4.jpg,,,,,,,,
83,0,2,0,60-60,2500,2500,NaN,NaN,watch,flashlight,60,60,watch12,flashlight14,40,60,2.2,2,2.1,2.7,2.5,3.4,Stimuli/Experimental_stims/watch/snl003_MED.jpg,Stimuli/Experimental_stims/flashlight/freeplay-jonta-flashlight.jpg,,,,,,,,
84,0,2,0,80-80,2500,2500,NaN,NaN,dresser,nail polish,80,80,dresser8,nail polish4,80,80,2.3,2,2.9,2.1,1.5,4.9,Stimuli/Experimental_stims/dresser/Adresser14.jpg,Stimuli/Experimental_stims/nail polish/8027_O.jpg,,,,,,,,
85,0,2,0,40-60,2500,2500,NaN,1,watch,hand bag,60,40,watch5,hand bag4,40,60,2.2,2.3,2.1,3.9,2.5,4.5,Stimuli/Experimental_stims/watch/B000GB0Q2K.01-A4LKQQKJ91IUZ._AA280_SCLZZZZZZZ_V66976251_.jpg,Stimuli/Experimental_stims/hand bag/APURSE46.jpg,,,,,,,,
86,0,2,0,60-60,2500,2500,NaN,NaN,door knob,fan,60,60,door knob6,fan7,60,80,2.1,2.3,4,3.1,2.9,2,Stimuli/Experimental_stims/door knob/30fdcb17-b0fd-4f26-8cd8-11adde46fb79_4.jpg,Stimuli/Experimental_stims/fan/250679_lg.jpg,,,,,,,,
87,0,2,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
88,0,2,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
89,0,2,0,40-60,2500,2500,NaN,1,bongo,telescope,60,40,bongo14,telescope13,60,40,2.1,2.1,2.9,3.3,3.2,2,Stimuli/Experimental_stims/bongo/26390667.thl.jpg,Stimuli/Experimental_stims/telescope/Telescope_Pewter_br48540a.jpg,,,,,,,,
90,0,2,0,40-60,2500,2500,NaN,1,door knob,telescope,60,40,door knob4,telescope9,80,40,2.1,2.1,4,3.3,2.9,2,Stimuli/Experimental_stims/door knob/chrome scroll latch handle.jpg,Stimuli/Experimental_stims/telescope/13TELESTAND.jpg,,,,,,,,
91,0,2,0,40-80,2500,2500,NaN,1,bike,tent,80,40,bike13,tent14,60,20,2.3,2.2,2.2,2.8,2.3,4.5,Stimuli/Experimental_stims/bike/folding_bike_montague.jpg,Stimuli/Experimental_stims/tent/inflatable-tent.jpg,,,,,,,,
92,0,2,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
93,0,2,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
94,0,2,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
95,0,2,0,20-80,2500,2500,NaN,0,stool,train,20,80,stool15,train12,20,100,2.2,2.1,3.8,4.1,4.2,4.5,Stimuli/Experimental_stims/stool/ASTOOL.jpg,Stimuli/Experimental_stims/train/02565 ride on train.jpg,,,,,,,,
96,0,2,0,20-60,2500,2500,NaN,1,watch,hat,60,20,watch14,hat8,40,20,2.2,2.3,2.1,2.4,2.5,4.7,Stimuli/Experimental_stims/watch/HC06.jpg,Stimuli/Experimental_stims/hat/ABLUEHAT.jpg,,,,,,,,
97,0,2,0,20-40,2500,2500,NaN,0,hat,hand bag,20,40,hat6,hand bag11,20,60,2.3,2.3,2.4,3.9,4.7,4.5,Stimuli/Experimental_stims/hat/Acasualhat5.jpg,Stimuli/Experimental_stims/hand bag/AHANDBAG6.jpg,,,,,,,,
98,0,2,0,40-60,2500,2500,NaN,0,power strip,flashlight,40,60,power strip2,flashlight5,20,80,2.2,2,4,2.7,2.5,3.4,Stimuli/Experimental_stims/power strip/59d69605-c8c8-4899-bd98-2ef78045147e_300.jpg,Stimuli/Experimental_stims/flashlight/Streamlight-71001-Jr-Flashlight-W-batteries-black-B00018A3CG-L.jpg,,,,,,,,
99,0,2,0,20-20,2500,2500,NaN,NaN,bowl,yarn,20,20,bowl8,yarn6,40,40,2.2,2.1,2.9,2.8,4.5,4.9,Stimuli/Experimental_stims/bowl/ASLVBOWL.jpg,Stimuli/Experimental_stims/yarn/edwardian moment hpy sml.jpg,,,,,,,,
100,0,2,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
101,0,2,0,60-80,2500,2500,NaN,0,fan,baby carriage,60,80,fan15,baby carriage7,60,60,2.3,2.2,3.1,3.9,2,4.3,Stimuli/Experimental_stims/fan/n_hsf.jpg,Stimuli/Experimental_stims/baby carriage/26423282.thl.jpg,,,,,,,,
102,0,2,0,20-80,2500,2500,NaN,1,train,license plate,80,20,train5,license plate3,60,0,2.1,2.2,4.1,1,4.5,4.1,Stimuli/Experimental_stims/train/thumb-briolightsoundsteamengine.jpg,Stimuli/Experimental_stims/license plate/tx-r17-wbx.jpg,,,,,,,,
103,0,2,0,80-80,2500,2500,NaN,NaN,baby carriage,seashell,80,80,baby carriage11,seashell6,80,60,2.2,2.2,3.9,4.5,4.3,2.4,Stimuli/Experimental_stims/baby carriage/Baby_Carriage-2.jpg,Stimuli/Experimental_stims/seashell/PY2H1461.jpg,,,,,,,,
104,0,2,0,20-80,2500,2500,NaN,0,pen,train,20,80,pen5,train15,40,80,2.2,2.1,2,4.1,3.9,4.5,Stimuli/Experimental_stims/pen/1550_1475_popup1.jpg,Stimuli/Experimental_stims/train/master-TD006.jpg,,,,,,,,
105,0,2,0,20-20,2500,2500,NaN,NaN,necklace,hat,20,20,necklace8,hat2,20,0,2.2,2.3,3.6,2.4,3.9,4.7,Stimuli/Experimental_stims/necklace/Anecklace20.jpg,Stimuli/Experimental_stims/hat/Ahatwithfeat7.jpg,,,,,,,,
106,0,2,0,20-40,2500,2500,NaN,0,hat,microscope,20,40,hat14,microscope9,40,60,2.3,2.2,2.4,3.5,4.7,2.5,Stimuli/Experimental_stims/hat/Ahat136.jpg,Stimuli/Experimental_stims/microscope/AMICROS34.jpg,,,,,,,,
107,0,2,0,80-80,2500,2500,NaN,NaN,bike,small table,80,80,bike4,small table7,100,100,2.3,2,2.2,4.2,2.3,2.5,Stimuli/Experimental_stims/bike/00000104285-HaroBikesMirra540Air-large.jpg,Stimuli/Experimental_stims/small table/ATABLE89.jpg,,,,,,,,
108,0,2,0,40-60,2500,2500,NaN,1,vase,telescope,60,40,vase15,telescope4,40,60,2.3,2.1,4,3.3,4.7,2,Stimuli/Experimental_stims/vase/catphoto.jpg,Stimuli/Experimental_stims/telescope/TELESCOPE_BLACK_GOOD_SMALL.jpg,,,,,,,,
109,0,2,0,20-40,2500,2500,NaN,0,necklace,telescope,20,40,necklace15,telescope3,0,60,2.2,2.1,3.6,3.3,3.9,2,Stimuli/Experimental_stims/necklace/necklascenew04.jpg,Stimuli/Experimental_stims/telescope/41V67SB5NJL._SS500_.jpg,,,,,,,,
110,0,2,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
111,0,2,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
112,0,2,0,60-80,2500,2500,NaN,0,door knob,makeup compact,60,80,door knob2,makeup compact4,80,80,2.1,2.3,4,2.5,2.9,3.3,Stimuli/Experimental_stims/door knob/500_DECWHIPB.jpg,Stimuli/Experimental_stims/makeup compact/262668_fpx.jpg,,,,,,,,
113,0,2,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
114,0,2,0,20-20,2500,2500,NaN,NaN,frame,bowl,20,20,frame8,bowl12,0,20,2.2,2.2,3.4,2.9,2.6,4.5,Stimuli/Experimental_stims/frame/AFRAME154.jpg,Stimuli/Experimental_stims/bowl/Abowl52.jpg,,,,,,,,
115,0,2,0,60-60,2500,2500,NaN,NaN,motorcycle,vase,60,60,motorcycle10,vase6,80,80,2.1,2.3,2.9,4,3.6,4.7,Stimuli/Experimental_stims/motorcycle/motorcycle17.jpg,Stimuli/Experimental_stims/vase/vase_crystal.jpg,,,,,,,,
116,0,2,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
117,0,2,0,20-80,2500,2500,NaN,1,nail polish,frame,80,20,nail polish15,frame13,80,0,2,2.2,2.1,3.4,4.9,2.6,Stimuli/Experimental_stims/nail polish/MA_NP_WSD.jpg,Stimuli/Experimental_stims/frame/AFRAME115.jpg,,,,,,,,
118,0,2,0,20-80,2500,2500,NaN,,hat,nail polish,20,80,hat4,nail polish6,40,60,2.3,2,2.4,2.1,4.7,4.9,Stimuli/Experimental_stims/hat/JS370.jpg,Stimuli/Experimental_stims/nail polish/127_t.jpg,,,,,,,,
119,0,2,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
120,0,3,0,40-80,2500,2500,NaN,1,small table,power strip,80,40,small table11,power strip11,80,60,2,2.2,4.2,4,2.5,2.5,Stimuli/Experimental_stims/small table/ATABLE83.jpg,Stimuli/Experimental_stims/power strip/41Bw7Tl1G7L._AA262_.jpg,,,,,,,,
121,0,3,0,60-80,2500,2500,NaN,1,dresser,flashlight,80,60,dresser15,flashlight10,100,80,2.3,2,2.9,2.7,1.5,3.4,Stimuli/Experimental_stims/dresser/ADRESSE77.jpg,Stimuli/Experimental_stims/flashlight/834784_sk_lg.jpg,,,,,,,,
122,0,3,0,20-40,2500,2500,NaN,1,power strip,license plate,40,20,power strip8,license plate4,20,0,2.2,2.2,4,1,2.5,4.1,Stimuli/Experimental_stims/power strip/3118YGHQWXL._AA262_.jpg,Stimuli/Experimental_stims/license plate/ca-2flt842.jpg,,,,,,,,
123,0,3,0,60-60,2500,2500,NaN,NaN,watch,bongo,60,60,watch15,bongo2,80,80,2.2,2.1,2.1,2.9,2.5,3.2,Stimuli/Experimental_stims/watch/20-171-6.jpg,Stimuli/Experimental_stims/bongo/26390663.thl.jpg,,,,,,,,
124,0,3,0,20-40,2500,2500,NaN,0,stool,trumpet,20,40,stool1,trumpet2,40,60,2.2,2.3,3.8,2.5,4.2,2.5,Stimuli/Experimental_stims/stool/ASTOOL42.jpg,Stimuli/Experimental_stims/trumpet/Matt-Stevens-Pocket-Trumpet.jpg,,,,,,,,
125,0,3,0,60-80,2500,2500,NaN,1,hammer,key chain,80,60,hammer6,key chain10,100,60,2,2.2,2.3,4.5,2.5,4.4,Stimuli/Experimental_stims/hammer/hammer03.jpg,Stimuli/Experimental_stims/key chain/Smurfs_Keychains_Smurf_Row_Boat.jpg,,,,,,,,
126,0,3,0,20-40,2500,2500,NaN,0,yarn,desk,20,40,yarn4,desk4,20,60,2.1,2.3,2.8,3.5,4.9,2.4,Stimuli/Experimental_stims/yarn/amethyst dreaming boho hy sml.jpg,Stimuli/Experimental_stims/desk/AbbeyMiniRadialBIG(1).jpg,,,,,,,,
127,0,3,0,40-40,2500,2500,NaN,NaN,trumpet,telescope,40,40,trumpet10,telescope1,40,40,2.3,2.1,2.5,3.3,2.5,2,Stimuli/Experimental_stims/trumpet/trumpet2.jpg,Stimuli/Experimental_stims/telescope/celestron nexstar 114 gt reflector telescope.jpg,,,,,,,,
128,0,3,0,80-80,2500,2500,NaN,NaN,nail polish,baby carriage,80,80,nail polish13,baby carriage3,80,100,2,2.2,2.1,3.9,4.9,4.3,Stimuli/Experimental_stims/nail polish/31cR10fzlML._AA280_.jpg,Stimuli/Experimental_stims/baby carriage/Stroller.jpg,,,,,,,,
129,0,3,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
130,0,3,0,20-80,2500,2500,NaN,1,small table,pen,80,20,small table5,pen7,60,20,2,2.2,4.2,2,2.5,3.9,Stimuli/Experimental_stims/small table/Atable145.jpg,Stimuli/Experimental_stims/pen/1259_2341_popup1.jpg,,,,,,,,
131,0,3,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
132,0,3,0,60-80,2500,2500,NaN,1,small table,flashlight,80,60,small table13,flashlight7,80,60,2,2,4.2,2.7,2.5,3.4,Stimuli/Experimental_stims/small table/ATABLE25.jpg,Stimuli/Experimental_stims/flashlight/11900.jpg,,,,,,,,
133,0,3,0,40-60,2500,2500,NaN,1,motorcycle,trumpet,60,40,motorcycle1,trumpet1,40,40,2.1,2.3,2.9,2.5,3.6,2.5,Stimuli/Experimental_stims/motorcycle/motorcycle30.jpg,Stimuli/Experimental_stims/trumpet/JUPITER+TROMPETTE+606MRL.JPG,,,,,,,,
134,0,3,0,80-80,2500,2500,NaN,NaN,dresser,train,80,80,dresser1,train14,100,100,2.3,2.1,2.9,4.1,1.5,4.5,Stimuli/Experimental_stims/dresser/ADRESSE52.jpg,Stimuli/Experimental_stims/train/images-products-childcraft-g83501.jpg,,,,,,,,
135,0,3,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
136,0,3,0,40-60,2500,2500,NaN,0,power strip,motorcycle,40,60,power strip21,motorcycle2,,40,2.2,2.1,4,2.9,2.5,3.6,Stimuli/Experimental_stims/power strip/extra/901413ee-3e05-4b23-a987-b93308167d5a_400.jpg,Stimuli/Experimental_stims/motorcycle/motorcycle33.jpg,,,,,,,,
137,0,3,0,40-40,2500,2500,NaN,NaN,power strip,telescope,40,40,power strip20,telescope7,,20,2.2,2.1,4,3.3,2.5,2,Stimuli/Experimental_stims/power strip/extra/411XYRXH01L._AA262_.jpg,Stimuli/Experimental_stims/telescope/telescope-talm.jpg,,,,,,,,
138,0,3,0,20-20,2500,2500,NaN,NaN,hat,stool,20,20,hat3,stool2,40,0,2.3,2.2,2.4,3.8,4.7,4.2,Stimuli/Experimental_stims/hat/Astrawhat49.jpg,Stimuli/Experimental_stims/stool/ASTOOL46.jpg,,,,,,,,
139,0,3,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
140,0,3,0,40-40,2500,2500,NaN,NaN,hand bag,sofa,40,40,hand bag8,sofa12,40,40,2.3,2.2,3.9,3.1,4.5,4.6,Stimuli/Experimental_stims/hand bag/Ahandbag13.jpg,Stimuli/Experimental_stims/sofa/ShelterSofaS6.jpg,,,,,,,,
141,0,3,0,20-80,2500,2500,NaN,0,hat,dresser,20,80,hat1,dresser11,40,80,2.3,2.3,2.4,2.9,4.7,1.5,Stimuli/Experimental_stims/hat/AGREENHAT.jpg,Stimuli/Experimental_stims/dresser/ADRESSE66.jpg,,,,,,,,
142,0,3,0,40-60,2500,2500,NaN,0,power strip,lipstick,40,60,power strip16,lipstick10,,40,2.2,2.1,4,2.4,2.5,3.6,Stimuli/Experimental_stims/power strip/extra/6dc7b990-2c32-43ec-ab81-43a4d9c31e19_400.jpg,Stimuli/Experimental_stims/lipstick/21K0D7QKFAL._SS500_.jpg,,,,,,,,
143,0,3,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
144,0,3,0,20-80,2500,2500,NaN,1,nail polish,stool,80,20,nail polish9,stool12,100,40,2,2.2,2.1,3.8,4.9,4.2,Stimuli/Experimental_stims/nail polish/8037_O.jpg,Stimuli/Experimental_stims/stool/henrybar_stool1.jpg,,,,,,,,
145,0,3,0,20-40,2500,2500,NaN,0,necklace,microscope,20,40,necklace4,microscope4,0,40,2.2,2.2,3.6,3.5,3.9,2.5,Stimuli/Experimental_stims/necklace/emerald_diamond_necklace.jpg,Stimuli/Experimental_stims/microscope/55071208.JPG,,,,,,,,
146,0,3,0,20-20,2500,2500,NaN,NaN,bowl,yarn,20,20,bowl7,yarn8,20,40,2.2,2.1,2.9,2.8,4.5,4.9,Stimuli/Experimental_stims/bowl/Abowl54.jpg,Stimuli/Experimental_stims/yarn/smonlineyarn-285x250.jpg,,,,,,,,
147,0,3,0,40-80,2500,2500,NaN,0,patio lounge chair,baby carriage,40,80,patio lounge chair3,baby carriage14,40,100,2.2,2.2,2.9,3.9,4.3,4.3,Stimuli/Experimental_stims/patio lounge chair/Lounge_Chair.jpg,Stimuli/Experimental_stims/baby carriage/peg_perego_uno_verde.jpg,,,,,,,,
148,0,3,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
149,0,3,0,40-80,2500,2500,NaN,0,patio lounge chair,bike,40,80,patio lounge chair9,bike14,20,100,2.2,2.3,2.9,2.2,4.3,2.3,Stimuli/Experimental_stims/patio lounge chair/43-3.jpg,Stimuli/Experimental_stims/bike/safety_bike.jpg,,,,,,,,
150,0,3,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
151,0,3,0,60-60,2500,2500,NaN,NaN,key chain,flashlight,60,60,key chain14,flashlight12,80,40,2.2,2,4.5,2.7,4.4,3.4,Stimuli/Experimental_stims/key chain/Jif Keychain 285.jpg,Stimuli/Experimental_stims/flashlight/new05.jpg,,,,,,,,
152,0,3,0,60-60,2500,2500,NaN,NaN,bongo,door knob,60,60,bongo15,door knob8,60,40,2.1,2.1,2.9,4,3.2,2.9,Stimuli/Experimental_stims/bongo/26390728.thl.jpg,Stimuli/Experimental_stims/door knob/pro_l_116_medeco437ul.jpg,,,,,,,,
153,0,3,0,80-80,2500,2500,NaN,NaN,baby carriage,train,80,80,baby carriage13,train3,100,80,2.2,2.1,3.9,4.1,4.3,4.5,Stimuli/Experimental_stims/baby carriage/300px-Barnevogn2.jpg,Stimuli/Experimental_stims/train/stackloco.jpg,,,,,,,,
154,0,3,0,60-80,2500,2500,NaN,0,door knob,seashell,60,80,door knob7,seashell3,60,80,2.1,2.2,4,4.5,2.9,2.4,Stimuli/Experimental_stims/door knob/doorknob2.jpg,Stimuli/Experimental_stims/seashell/coquillage.jpg,,,,,,,,
155,0,3,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
156,0,3,0,20-60,2500,2500,NaN,1,door knob,yarn,60,20,door knob15,yarn14,40,20,2.1,2.1,4,2.8,2.9,4.9,Stimuli/Experimental_stims/door knob/Legacy_oval.jpg,Stimuli/Experimental_stims/yarn/Aballofyarn3.jpg,,,,,,,,
157,0,3,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
158,0,3,0,20-60,2500,2500,NaN,1,watch,license plate,60,20,watch13,license plate14,80,20,2.2,2.2,2.1,1,2.5,4.1,Stimuli/Experimental_stims/watch/RS_3104_lrg.jpg,Stimuli/Experimental_stims/license plate/fl-hel-bel.jpg,,,,,,,,
159,0,3,0,40-60,2500,2500,NaN,0,patio lounge chair,lipstick,40,60,patio lounge chair10,lipstick2,40,80,2.2,2.1,2.9,2.4,4.3,3.6,Stimuli/Experimental_stims/patio lounge chair/51831.jpg,Stimuli/Experimental_stims/lipstick/11uuoPMY+OL._SS500_.jpg,,,,,,,,
160,0,3,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
161,0,3,0,20-20,2500,2500,NaN,NaN,pen,frame,20,20,pen10,frame12,0,40,2.2,2.2,2,3.4,3.9,2.6,Stimuli/Experimental_stims/pen/VP-Raden-FP-L copy.jpg,Stimuli/Experimental_stims/frame/AFRAME138.jpg,,,,,,,,
162,0,3,0,40-80,2500,2500,NaN,1,hammer,sofa,80,40,hammer12,sofa14,80,60,2,2.2,2.3,3.1,2.5,4.6,Stimuli/Experimental_stims/hammer/24oz hammer.jpg,Stimuli/Experimental_stims/sofa/HENRY-Sofa-falg8068-05-72X34X34.jpg,,,,,,,,
163,0,3,0,40-40,2500,2500,NaN,NaN,hand bag,sofa,40,40,hand bag3,sofa9,20,60,2.3,2.2,3.9,3.1,4.5,4.6,Stimuli/Experimental_stims/hand bag/APURSE52.jpg,Stimuli/Experimental_stims/sofa/ALOVSEAT9.jpg,,,,,,,,
164,0,3,0,20-20,2500,2500,NaN,NaN,hat,poker card,20,20,hat5,poker card11,0,40,2.3,2.2,2.4,1,4.7,2.7,Stimuli/Experimental_stims/hat/AREDHAT4.jpg,Stimuli/Experimental_stims/poker card/9817013.thl.jpg,,,,,,,,
165,0,3,0,60-60,2500,2500,NaN,NaN,fan,bongo,60,60,fan13,bongo8,40,40,2.3,2.1,3.1,2.9,2,3.2,Stimuli/Experimental_stims/fan/511976_sk_lg.jpg,Stimuli/Experimental_stims/bongo/26390661.thl.jpg,,,,,,,,
166,0,3,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
167,0,3,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
168,0,3,0,80-80,2500,2500,NaN,NaN,bike,seashell,80,80,bike3,seashell1,60,80,2.3,2.2,2.2,4.5,2.3,2.4,Stimuli/Experimental_stims/bike/RACING-BIKE-13540473898.jpg,Stimuli/Experimental_stims/seashell/Aseashe34.jpg,,,,,,,,
169,0,3,0,20-40,2500,2500,NaN,0,poker card,desk,20,40,poker card6,desk7,40,60,2.2,2.3,1,3.5,2.7,2.4,Stimuli/Experimental_stims/poker card/22864212.thl.jpg,Stimuli/Experimental_stims/desk/D-3  One drawer desk  Ming 41.5x25x32.jpg,,,,,,,,
170,0,3,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
171,0,3,0,40-40,2500,2500,NaN,NaN,power strip,telescope,40,40,power strip9,telescope2,60,20,2.2,2.1,4,3.3,2.5,2,Stimuli/Experimental_stims/power strip/9ad9cb76-bc97-4f44-999c-27e7aa039743_400.jpg,Stimuli/Experimental_stims/telescope/Brass-telescope-60700.jpg,,,,,,,,
172,0,3,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
173,0,3,0,20-80,2500,2500,NaN,1,hammer,pen,80,20,hammer4,pen14,60,20,2,2.2,2.3,2,2.5,3.9,Stimuli/Experimental_stims/hammer/hammernew01.jpg,Stimuli/Experimental_stims/pen/pen05.jpg,,,,,,,,
